Unique ID	Member	Lake	Time per year	Age	Top_11_enviro_issues				
H1444	No	Halls Lake	4 - 6 months	56 + years old					
H9409	Yes	Halls Lake	7+ months	56 + years old	1d				
H4750	Yes	Halls Lake	2 - 3 months	56 + years old	1d	1f	1b	1d	
B3111	Yes	Boshkung	4 - 6 months	26 - 55 years old	2d	2c			
H3171	No	Halls Lake	4 - 6 months	56 + years old	1f	2c	2a	2d	2b
LH4984	Yes	Little Hawk Lake	4 - 6 months	26 - 55 years old	1f	2a	2c	2b	
H5851	No	Halls Lake	4 - 6 months	26 - 55 years old	1a	1b	1e		
H6979	No	Halls Lake	7+ months	56 + years old	2b				
H8487	No	Halls Lake	15 - 30 days	Under 25 years old	1d	1d	1e	1f	2b
H9031	No	Halls Lake	15 - 30 days	26 - 55 years old	1a	1d	1d	1f	1h
H5179	No	Halls Lake	4 - 6 months	56 + years old	1d	1e			
K2544	No	Kennisis River	15 - 30 days	56 + years old	1b				
