Lake Name	Township	STN	Site ID	Site Description	Latitude (DMS)	Long (DMS)	Date	Secchi Depth (metres)
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	09/12/2016	7
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	10/07/2016	8
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	05/12/2018	8.1
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	06/15/2018	7.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	07/15/2018	6
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	08/11/2018	5.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	09/07/2018	6.75
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	05/14/2019	7.8
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	06/24/2019	7.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	07/26/2019	6
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	08/12/2019	5.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	09/17/2019	6.75
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	10/10/2019	6.75
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450634	784347	5/6/21	8.8
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450634	784347	6/12/21	9.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450634	784347	8/16/21	6
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450634	784347	9/10/21	6.8
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450634	784347	10/23/21	6
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450634	784347	5/8/22	8.9
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450634	784347	6/14/22	5.9
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450634	784347	7/15/22	6
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450634	784347	8/17/22	5.8
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450634	784347	9/29/22	7.8
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450634	784347	10/5/22	8
